# This file is used for matching IDS
# (https://github.com/cjkvi/cjkvi-ids/blob/master/ids-cdp.txt)
# for possible variants.

# Character & Components which can be derived Simplified
# Format: Source / Classification / Destination
爱 simp 愛
罢 simp 罷
备 simp 備
贝 simp 貝
笔 simp 筆
毕 simp 畢
边 simp 邊
宾 simp 賓
参 simp 參
仓 simp 倉
产 simp 産
长 simp 長
尝 simp 嘗
车 simp 車
齿 simp 齒
刍 simp 芻
窜 simp 竄
带 simp 帶
单 simp 單
当 simp 當
东 simp 東
动 simp 動
断 simp 斷
对 simp 對
队 simp 隊
发 simp 發
丰 simp 豐
风 simp 風
冈 simp 岡
归 simp 歸
龟 simp 龜
国 simp 國
过 simp 過
华 simp 華
画 simp 畫
汇 simp 匯
会 simp 會
夹 simp 夾
戋 simp 戔
监 simp 監
见 simp 見
荐 simp 薦
将 simp 將
节 simp 節
尽 simp 盡
进 simp 進
举 simp 擧
壳 simp 殻
来 simp 來
乐 simp 樂
历 simp 歷
丽 simp 麗
两 simp 兩
灵 simp 靈
刘 simp 劉
龙 simp 龍
娄 simp 婁
卢 simp 盧
虏 simp 虜
卤 simp 鹵
录 simp 録
虑 simp 慮
仑 simp 侖
罗 simp 羅
马 simp 馬
买 simp 買
卖 simp 賣
麦 simp 麥
门 simp 門
黾 simp 黽
难 simp 難
鸟 simp 鳥
聂 simp 聶
㝉 simp 宁
农 simp 農
齐 simp 齊
岂 simp 豈
气 simp 氣
迁 simp 遷
佥 simp 僉
乔 simp 喬
亲 simp 親
穷 simp 窮
区 simp 區
啬 simp 嗇
杀 simp 殺
审 simp 審
师 simp 師
时 simp 時
寿 simp 壽
肃 simp 肅
岁 simp 歲
孙 simp 孫
条 simp 條
万 simp 萬
为 simp 爲
韦 simp 韋
乌 simp 烏
无 simp 無
乡 simp 鄉
写 simp 寫
寻 simp 尋
亚 simp 亞
严 simp 嚴
厌 simp 厭
尧 simp 堯
业 simp 業
页 simp 頁
义 simp 義
艺 simp 藝
阴 simp 陰
隐 simp 隱
犹 simp 猶
鱼 simp 魚
与 simp 與
云 simp 雲
郑 simp 鄭
执 simp 執
质 simp 質
专 simp 專

讠 simp 言
饣 simp 飠
纟 simp 糹
𠃓 simp 昜
钅 simp 金
𫇦 simp 𤇾
只 simp 戠
龸 simp 𦥯
𠬤 simp 睪
𢀖 simp 巠
呙 simp 咼

# Simp (Problematic examples which require manual inspection)
# Format: Source / Classification / Destination
#虫 simp 蟲
#从 simp 從
#达 simp 達
#广 simp 廣
